,City,Country,Lat,Lng,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,barentsburg,,,,,,,
1,punta arenas,CL,-53.16,-70.91,41,100,75,5.82
2,port elizabeth,US,39.31,-74.98,79.45,74,90,9.17
3,kuche,,,,,,,
4,nikolskoye,RU,59.7,30.79,55.4,93,75,15.66
5,coquimbo,CL,-29.95,-71.34,60.8,67,20,14.99
6,beringovskiy,RU,63.05,179.32,41,100,0,10.22
7,flin flon,CA,54.77,-101.88,37.4,93,90,8.05
8,hanna,CA,51.64,-111.93,39.47,99,88,5.3
9,tumannyy,,,,,,,
10,fairbanks,US,64.84,-147.72,48.02,92,75,4.07
11,hilo,US,19.71,-155.08,73.94,84,90,10.29
12,havre-saint-pierre,CA,50.23,-63.6,44.6,93,90,6.93
13,ushuaia,AR,-54.81,-68.31,35.6,80,75,12.75
14,qaanaaq,GL,77.48,-69.36,24.53,100,0,5.41
15,bethel,US,60.79,-161.76,48.02,100,90,5.82
16,faanui,PF,-16.48,-151.75,79.7,100,68,16.82
17,huilong,CN,28.89,110.18,68.9,98,92,4.74
18,deputatskiy,RU,69.3,139.9,32.63,95,92,3.74
19,new norfolk,AU,-42.78,147.06,53.6,58,20,17.22
20,tasiilaq,GL,65.61,-37.64,42.8,70,75,19.46
21,agua prieta,MX,31.32,-109.55,89.06,27,1,5.82
22,rikitea,PF,-23.12,-134.97,74.84,96,20,10.33
23,losheim,DE,50.36,6.37,70.7,37,0,3.36
24,hobart,AU,-42.88,147.33,53.6,58,20,17.22
25,solnechnyy,RU,50.72,136.64,42.98,91,48,2.39
26,at-bashi,KG,41.17,75.81,34.79,83,0,2.73
27,ribeira grande,PT,38.52,-28.7,75.2,64,20,17.22
28,arraial do cabo,BR,-22.97,-42.02,70.68,94,75,14.7
29,killybegs,IE,54.63,-8.45,61.25,93,92,21.18
30,montecristi,EC,-1.05,-80.66,77,73,20,8.05
31,warri,NG,5.52,5.75,78.44,87,88,7.43
32,petropavlovsk-kamchatskiy,RU,53.05,158.65,55.4,100,90,8.95
33,samusu,,,,,,,
34,illoqqortoormiut,,,,,,,
35,severo-kurilsk,RU,50.68,156.12,53.6,95,92,13.47
36,nguiu,,,,,,,
37,pacific grove,US,36.62,-121.92,64.18,60,1,4.18
38,buariki,,,,,,,
39,vaitupu,,,,,,,
40,meuselwitz,DE,51.05,12.3,68.23,63,0,3.36
41,troitskoye,RU,52.98,84.68,42.53,87,20,4.97
42,chernaya kholunitsa,RU,58.85,51.72,46.67,93,0,9.78
43,vaini,IN,15.34,74.49,70.34,95,56,4.07
44,puerto ayora,EC,-0.74,-90.35,78.8,61,40,21.92
45,busselton,AU,-33.64,115.35,54.68,100,68,11.9
46,nabire,ID,-3.36,135.5,68.9,98,88,1.72
47,aklavik,CA,68.22,-135.01,28.49,90,90,6.93
48,dikson,RU,73.51,80.55,38.21,100,88,10.67
49,khatanga,RU,71.98,102.47,30.38,89,36,6.98
50,cabo san lucas,MX,22.89,-109.91,80.49,74,75,9.17
51,tomatlan,MX,19.93,-105.25,86.99,65,0,1.95
52,brae,GB,60.4,-1.35,53.6,87,92,11.41
53,albany,US,42.65,-73.75,80.01,47,75,9.17
54,port alfred,ZA,-33.59,26.89,65.21,87,56,12.46
55,mataura,NZ,-46.19,168.86,31.28,93,0,6.08
56,beira,ES,43.2,-8.36,68.74,73,20,5.82
57,ulkan,RU,57.24,107.32,40.28,93,80,2.39
58,jamestown,AU,-33.21,138.6,51.71,38,0,15.26
59,ostrovnoy,RU,68.05,39.51,41.63,88,0,12.91
60,mahebourg,MU,-20.41,57.7,73.4,78,40,6.93
61,zhezkazgan,KZ,47.8,67.71,53.6,37,0,8.95
62,port lincoln,AU,-34.72,135.86,53.87,96,0,17.49
63,esperance,TT,10.24,-61.45,87.8,66,40,4.29
64,bluff,AU,-23.58,149.07,61.79,84,0,11.23
65,taolanaro,,,,,,,
66,narsaq,GL,60.91,-46.05,39.2,80,75,5.82
67,hamilton,BM,32.3,-64.78,84.2,70,40,11.41
68,avarua,CK,-21.21,-159.78,71.6,60,75,14.99
69,ornskoldsvik,SE,63.29,18.72,47.21,70,0,6.93
70,karratha,AU,-20.74,116.85,71.96,27,0,10.45
71,atuona,PF,-9.8,-139.03,78.71,100,0,14.47
72,lebu,ET,8.96,38.73,49.1,88,8,2.73
73,thompson,CA,55.74,-97.86,37.4,64,90,6.93
74,amderma,,,,,,,
75,chokurdakh,RU,70.62,147.9,37.58,96,92,4.63
76,bengkulu,,,,,,,
77,kaeo,NZ,-35.1,173.78,58.19,96,92,7.31
78,leningradskiy,RU,69.38,178.42,40.91,100,92,13.02
